"set","training","validation","test"
"fold 1","0.99","0.86","0.87"
"fold 2","0.98","0.86","0.86"
"fold 3","0.98","0.86","0.86"
"fold 4","0.98","0.86","0.86"
"fold 5","0.98","0.87","0.86"
"ave.","0.98","0.86","0.86"
