set,training,validation,test
fold 1,0.96,0.91,0.91
fold 2,0.96,0.93,0.9
fold 3,0.95,0.95,0.95
fold 4,0.97,0.89,0.93
fold 5,0.95,0.97,0.9
fold 6,0.95,0.91,0.96
fold 7,0.94,0.94,0.92
ave.,0.95,0.93,0.92
