set,training,validation,test
fold 1,0.96,0.9,0.93
fold 2,0.96,0.92,0.9
fold 3,0.95,0.93,0.9
fold 4,0.95,0.96,0.94
fold 5,0.94,0.95,0.95
fold 6,0.95,0.94,0.92
ave.,0.95,0.93,0.92
