set,training,validation,test
fold 1,0.95,0.9,0.92
fold 2,0.95,0.89,0.91
fold 3,0.96,0.94,0.89
fold 4,0.95,0.96,0.94
fold 5,0.95,0.93,0.93
fold 6,0.95,0.92,0.93
fold 7,0.95,0.96,0.94
fold 8,0.94,0.92,0.94
fold 9,0.94,0.93,0.92
ave.,0.95,0.93,0.92
