set,training,validation,test
fold 1,0.96,0.89,0.91
fold 2,0.96,0.93,0.91
fold 3,0.96,0.9,0.93
fold 4,0.95,0.94,0.93
fold 5,0.95,0.93,0.96
ave.,0.96,0.92,0.93
