set,training,validation,test
fold 1,0.96,0.9,0.92
fold 2,0.95,0.91,0.86
fold 3,0.96,0.92,0.92
fold 4,0.95,0.94,0.9
fold 5,0.95,0.92,0.94
fold 6,0.95,0.96,0.92
fold 7,0.94,0.93,0.95
fold 8,0.94,0.93,0.92
ave.,0.95,0.93,0.92
