set,training,validation,test
fold 1,0.96,0.91,0.94
fold 2,0.95,0.9,0.92
fold 3,0.95,0.91,0.88
fold 4,0.95,0.94,0.94
fold 5,0.95,0.96,0.94
fold 6,0.96,0.91,0.95
fold 7,0.96,0.94,0.89
fold 8,0.94,0.96,0.94
fold 9,0.94,0.91,0.96
fold 10,0.94,0.94,0.91
ave.,0.95,0.93,0.93
