"set","training","validation","test"
"fold 1",0.86,0.83,0.83
"fold 2",0.86,0.82,0.87
"fold 3",0.86,0.84,0.8
"fold 4",0.86,0.8,0.85
"fold 5",0.86,0.82,0.76
"fold 6",0.85,0.89,0.83
"fold 7",0.86,0.82,0.85
"fold 8",0.87,0.83,0.83
"ave.",0.86,0.83,0.83
